Method,Robots,Tasks,Candidates,Score,Length
ssia_task_allocation,10,5,50,3.613789253671239,327.6
ilp_task_allocation,10,5,50,3.6137892536712393,21977.5
jv_task_allocation,10,5,50,3.6137892536712393,50.8
rank_assignments_borda,10,5,100,0.8319238900634249,486.5
rank_assignments_approval,10,5,100,1.564059196617336,334.1
rank_assignments_majority_judgment,10,5,100,0.7699083861874558,676.5
rank_assignments_cumulative_voting,10,5,100,1.564059196617336,501.8
rank_assignments_condorcet_method,10,5,100,1.564059196617336,36453.7
rank_assignments_range,10,5,100,1.564059196617336,131.8
cbba_task_allocation,10,5,100,1.7849894291754755,39.3
ssia_task_allocation,10,5,100,1.7849894291754755,335.8
ilp_task_allocation,10,5,100,1.7849894291754755,19989.6
jv_task_allocation,10,5,100,1.7849894291754755,55.3
rank_assignments_borda,10,5,100,1.6956105909594281,485.6
rank_assignments_approval,10,5,100,0.7681465821000705,337.0
rank_assignments_majority_judgment,10,5,100,1.366153226618343,709.7
rank_assignments_cumulative_voting,10,5,100,1.6103392731299708,623.2
rank_assignments_condorcet_method,10,5,100,1.6413470250679554,36774.6
rank_assignments_range,10,5,100,1.6956105909594281,157.1
cbba_task_allocation,10,5,100,2.719849859731845,54.2
ssia_task_allocation,10,5,100,2.719849859731845,357.7
ilp_task_allocation,10,5,100,2.719849859731845,24825.9
jv_task_allocation,10,5,100,2.719849859731845,52.4
rank_assignments_borda,10,5,100,0.9443269908386186,514.1
rank_assignments_approval,10,5,100,0.6730091613812543,333.2
rank_assignments_majority_judgment,10,5,100,0.6730091613812543,674.4
rank_assignments_cumulative_voting,10,5,100,0.9443269908386186,491.9
rank_assignments_condorcet_method,10,5,100,0.9443269908386186,38184.7
rank_assignments_range,10,5,100,0.9443269908386186,140.4
cbba_task_allocation,10,5,100,1.7384778012684987,38.0
ssia_task_allocation,10,5,100,1.7384778012684987,328.1
ilp_task_allocation,10,5,100,1.7384778012684987,24263.0
jv_task_allocation,10,5,100,1.7384778012684987,53.1
rank_assignments_borda,10,5,100,2.689314663228248,511.7
rank_assignments_approval,10,5,100,0.8527131782945736,347.4
rank_assignments_majority_judgment,10,5,100,0.8969288123557607,771.4
rank_assignments_cumulative_voting,10,5,100,2.6505549733057676,544.1
rank_assignments_condorcet_method,10,5,100,2.689314663228248,37640.5
rank_assignments_range,10,5,100,2.813345670980186,140.0
cbba_task_allocation,10,5,100,2.813345670980186,48.0
ssia_task_allocation,10,5,100,2.6805792704248232,383.4
ilp_task_allocation,10,5,100,2.813345670980186,21871.4
jv_task_allocation,10,5,100,2.813345670980186,56.1
rank_assignments_borda,10,5,100,0.835799859055673,471.0
rank_assignments_approval,10,5,100,0.9908386187455954,405.2
rank_assignments_majority_judgment,10,5,100,0.9908386187455954,677.2
rank_assignments_cumulative_voting,10,5,100,0.9908386187455954,528.0
rank_assignments_condorcet_method,10,5,100,0.6730091613812543,37399.8
rank_assignments_range,10,5,100,0.9908386187455954,152.2
cbba_task_allocation,10,5,100,1.7849894291754755,53.8
ssia_task_allocation,10,5,100,1.7849894291754755,455.8
ilp_task_allocation,10,5,100,1.7849894291754755,25085.6
jv_task_allocation,10,5,100,1.7849894291754755,50.2
rank_assignments_borda,10,7,10,1.5002818886539817,64.8
rank_assignments_approval,10,7,10,0.0,46.8
rank_assignments_majority_judgment,10,7,10,0.9309372797744891,118.9
rank_assignments_cumulative_voting,10,7,10,1.4770260747004933,69.3
rank_assignments_condorcet_method,10,7,10,0.6828752642706131,401.7
rank_assignments_range,10,7,10,1.6010570824524313,31.3
cbba_task_allocation,10,7,10,2.7105676690543055,55.0
ssia_task_allocation,10,7,10,2.7105676690543055,444.2
ilp_task_allocation,10,7,10,2.7105676690543055,18770.8
jv_task_allocation,10,7,10,2.7105676690543055,54.1
rank_assignments_borda,10,7,10,1.6508607671398368,74.2
rank_assignments_approval,10,7,10,1.9298065696885547,51.6
rank_assignments_majority_judgment,10,7,10,2.283348434511225,127.5
rank_assignments_cumulative_voting,10,7,10,3.1409210366169753,74.1
rank_assignments_condorcet_method,10,7,10,3.3889830521208513,539.9
rank_assignments_range,10,7,10,3.125417160647983,37.7
cbba_task_allocation,10,7,10,3.489758245919301,86.0
ssia_task_allocation,10,7,10,3.4012074794251257,448.1
ilp_task_allocation,10,7,10,3.5672776257642624,21780.9
jv_task_allocation,10,7,10,3.567277625764262,55.6
rank_assignments_borda,10,7,10,2.467633142051747,68.1
rank_assignments_approval,10,7,10,1.6994865599516764,46.9
rank_assignments_majority_judgment,10,7,10,0.6212624584717608,139.6
rank_assignments_cumulative_voting,10,7,10,2.286337852927592,74.8
rank_assignments_condorcet_method,10,7,10,4.059940379166369,403.3
rank_assignments_range,10,7,10,3.00022086913619,31.9
cbba_task_allocation,10,7,10,5.214556305875319,54.5
ssia_task_allocation,10,7,10,5.214556305875319,517.5
ilp_task_allocation,10,7,10,5.214556305875319,22360.4
jv_task_allocation,10,7,10,5.214556305875319,57.4
rank_assignments_borda,10,7,10,2.293214537400584,67.6
rank_assignments_approval,10,7,10,2.303735024665257,45.3
rank_assignments_majority_judgment,10,7,10,1.6956105909594281,128.0
rank_assignments_cumulative_voting,10,7,10,2.924997483137018,118.9
rank_assignments_condorcet_method,10,7,10,3.27869411625052,451.5
rank_assignments_range,10,7,10,2.5217727430500774,37.5
cbba_task_allocation,10,7,10,4.464740627878427,82.4
ssia_task_allocation,10,7,10,4.464740627878427,662.8
ilp_task_allocation,10,7,10,4.464740627878427,20347.8
jv_task_allocation,10,7,10,4.464740627878427,57.7
rank_assignments_borda,10,7,10,2.2247250471287394,70.4
rank_assignments_approval,10,7,10,0.6832779623477299,46.7
rank_assignments_majority_judgment,10,7,10,2.269233866908286,129.3
rank_assignments_cumulative_voting,10,7,10,1.3045404208194906,71.6
rank_assignments_condorcet_method,10,7,10,1.6222459132906892,399.6
rank_assignments_range,10,7,10,2.400892847751577,36.8
cbba_task_allocation,10,7,10,3.3981242984714,59.4
ssia_task_allocation,10,7,10,3.325077407946217,504.9
ilp_task_allocation,10,7,10,3.4136281744403925,21548.0
jv_task_allocation,10,7,10,3.4136281744403925,55.7
rank_assignments_borda,10,7,25,3.479116949231493,172.9
rank_assignments_approval,10,7,25,3.375872074240696,107.2
rank_assignments_majority_judgment,10,7,25,2.379361108741546,236.3
rank_assignments_cumulative_voting,10,7,25,3.696594045778357,177.1
rank_assignments_condorcet_method,10,7,25,3.375872074240696,2662.2
rank_assignments_range,10,7,25,4.366713848456299,57.1
cbba_task_allocation,10,7,25,4.623511256763599,93.6
ssia_task_allocation,10,7,25,4.534960490269424,507.3
ilp_task_allocation,10,7,25,4.623511256763599,21438.1
jv_task_allocation,10,7,25,4.623511256763599,56.0
rank_assignments_borda,10,7,25,2.149451323869928,151.7
rank_assignments_approval,10,7,25,2.5026370575988897,106.8
rank_assignments_majority_judgment,10,7,25,2.1723044397463,224.7
rank_assignments_cumulative_voting,10,7,25,3.6323561756901013,172.9
rank_assignments_condorcet_method,10,7,25,2.9602335648847276,2818.5
rank_assignments_range,10,7,25,2.9563575958924795,56.3
cbba_task_allocation,10,7,25,4.973018614026957,72.2
ssia_task_allocation,10,7,25,4.6745690016238575,590.8
ilp_task_allocation,10,7,25,4.973018614026957,20743.2
jv_task_allocation,10,7,25,4.973018614026957,64.1
rank_assignments_borda,10,7,25,2.262609483539716,161.8
rank_assignments_approval,10,7,25,3.146330413772274,107.0
