Method,Robots,Tasks,Candidates,Score,Length
rank_assignments_cumulative_voting,10,5,50,3.810239885427855,268.1
rank_assignments_condorcet_method,10,5,50,3.810239885427855,9003.1
rank_assignments_range,10,5,50,3.810239885427855,65.8
cbba_task_allocation,10,5,50,4.62047977085571,40.6
ssia_task_allocation,10,5,50,4.62047977085571,12.7
ilp_task_allocation,10,5,50,4.62047977085571,22954.6
jv_task_allocation,10,5,50,4.62047977085571,296.9
rank_assignments_borda,10,5,100,4.3077208200027295,480.6
rank_assignments_approval,10,5,100,4.3077208200027295,341.4
rank_assignments_majority_judgment,10,5,100,4.3077208200027295,655.6
rank_assignments_cumulative_voting,10,5,100,4.30772082000273,549.6
rank_assignments_condorcet_method,10,5,100,4.30772082000273,36290.2
rank_assignments_range,10,5,100,4.30772082000273,99.2
cbba_task_allocation,10,5,100,4.476388286989525,42.0
ssia_task_allocation,10,5,100,4.5920345454929254,8.0
ilp_task_allocation,10,5,100,4.5920345454929254,26016.4
jv_task_allocation,10,5,100,4.5920345454929254,90.0
rank_assignments_borda,10,5,100,2.46312209094164,484.6
rank_assignments_approval,10,5,100,2.46312209094164,336.2
rank_assignments_majority_judgment,10,5,100,0.7158968850698174,670.7
rank_assignments_cumulative_voting,10,5,100,2.6842105263157894,519.7
rank_assignments_condorcet_method,10,5,100,2.46312209094164,37010.2
rank_assignments_range,10,5,100,2.6842105263157894,119.6
cbba_task_allocation,10,5,100,3.637454510476618,41.6
ssia_task_allocation,10,5,100,3.6374545104766174,8.2
ilp_task_allocation,10,5,100,3.637454510476618,21483.0
jv_task_allocation,10,5,100,3.637454510476618,90.8
rank_assignments_borda,10,5,100,1.5534946107272445,478.6
rank_assignments_approval,10,5,100,2.465085201161892,327.8
rank_assignments_majority_judgment,10,5,100,0.7158968850698174,659.9
rank_assignments_cumulative_voting,10,5,100,2.6799084438918195,519.7
rank_assignments_condorcet_method,10,5,100,2.6861736365360414,36684.4
rank_assignments_range,10,5,100,2.6799084438918195,101.4
cbba_task_allocation,10,5,100,4.801819895039443,53.6
ssia_task_allocation,10,5,100,4.801819895039443,8.5
ilp_task_allocation,10,5,100,4.801819895039443,21055.5
jv_task_allocation,10,5,100,4.801819895039443,99.9
rank_assignments_borda,10,5,100,4.0519652837211435,485.5
rank_assignments_approval,10,5,100,4.2614490772385505,327.2
rank_assignments_majority_judgment,10,5,100,4.3532858119324285,669.4
rank_assignments_cumulative_voting,10,5,100,4.3532858119324285,536.4
rank_assignments_condorcet_method,10,5,100,4.3532858119324285,37612.0
rank_assignments_range,10,5,100,4.3532858119324285,102.3
cbba_task_allocation,10,5,100,4.39410213846304,45.9
