Robots,Tasks,Candidates,Voting_Method,Suitability_Method,Score_Voting,Time_Voting,Score_CBBA,Time_CBBA,Score_SSIA,Time_SSIA,Score_ILP,Time_ILP
5,5,50,rank_assignments_approval,evaluate_suitability_loose,57.92022723,729.6,64.42022723,181.1,62.42022723,24.6,65.42022723,75092.9
5,5,50,rank_assignments_approval,evaluate_suitability_loose,57.78802617,678.3,64.78802617,181,63.78802617,22.6,66.28802617,73125.9
5,5,50,rank_assignments_approval,evaluate_suitability_loose,57.92917804,631.6,63.92917804,113.7,61.42917804,21.4,65.42917804,67379.9
5,5,50,rank_assignments_approval,evaluate_suitability_loose,49.48536818,665.9,52.98536818,133.1,50.48536818,22,52.98536818,75844.1
5,5,50,rank_assignments_approval,evaluate_suitability_loose,55.27526554,730.4,54.27526554,285.5,52.27526554,25.5,57.77526554,72402.5
5,5,50,rank_assignments_approval,evaluate_suitability_loose,54.78329765,638.3,59.78329765,171.5,55.28329765,21.7,61.28329765,75020.3
5,5,50,rank_assignments_approval,evaluate_suitability_loose,45.4743025,663.3,50.4743025,137.9,48.4743025,22.9,50.4743025,75204.7
5,5,50,rank_assignments_approval,evaluate_suitability_loose,60.29663185,615.5,62.79663185,102.7,62.79663185,20.3,63.79663185,73168.2
5,5,50,rank_assignments_approval,evaluate_suitability_loose,51.27036226,625.1,51.77036226,156.9,47.27036226,20.4,51.77036226,73297.1
5,5,50,rank_assignments_approval,evaluate_suitability_loose,57.53818703,698.7,59.53818703,194,59.03818703,21.9,60.53818703,74483.7
5,5,50,rank_assignments_approval,evaluate_suitability_loose,54.81629586,680.6,56.81629586,174.5,53.31629586,22.3,56.81629586,81895.2
5,5,50,rank_assignments_approval,evaluate_suitability_loose,45.98386438,491.7,48.98386438,112.5,49.98386438,21.3,50.48386438,73331
5,5,50,rank_assignments_approval,evaluate_suitability_loose,56.52855715,641.7,58.02855715,127.7,57.02855715,22.3,59.02855715,74697.7
5,5,50,rank_assignments_approval,evaluate_suitability_loose,54.97514152,620.8,53.47514152,132.8,55.97514152,20.7,56.47514152,67834.1
5,5,50,rank_assignments_approval,evaluate_suitability_loose,45.98352986,632.1,47.98352986,138.9,46.48352986,21.8,49.48352986,77658.9
5,5,50,rank_assignments_approval,evaluate_suitability_loose,56.21865129,641.4,56.21865129,97.3,54.21865129,16.7,56.21865129,83055.3
5,5,50,rank_assignments_approval,evaluate_suitability_loose,50.09184606,635.6,50.59184606,147.7,46.59184606,22.3,51.09184606,75297.7
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,656,0,141.1,0,25,0,73300.6
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,601.3,0,100.4,0,22.4,0,74754.6
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,607.8,0,100.5,0,22.2,0,67328.3
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,610.6,0,101.9,0,22.4,0,77295.6
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,637.7,0,111.2,0,24.2,0,72529.3
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,551.4,0,87.7,0,22.5,0,79284.9
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,630,0,99.3,0,22,0,71416.5
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,626.2,0,103.7,0,23.9,0,68618.7
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,716.7,0,95.7,0,21.6,0,71635.2
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,635.9,0,104.5,0,23.3,0,71654
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,624.5,0,103.7,0,23.8,0,72909.4
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,593.5,0,101.3,0,22.2,0,72788.4
