Method,Robots,Tasks,Candidates,Score,Task Normalized Score,Score Density,Length
ilp_task_allocation,10,5,,4.425752429511828,0.8851504859023656,0.08851504859023657,20103.7
jv_task_allocation,10,5,,4.425752429511828,0.8851504859023656,0.08851504859023657,57.4
rank_assignments_borda,10,5,25,2.617058617058617,0.8723528723528724,0.052341172341172346,151.4
rank_assignments_approval,10,5,25,2.62726269869127,0.8757542328970901,0.0525452539738254,94.6
rank_assignments_majority_judgment,10,5,25,2.681375252803824,0.893791750934608,0.05362750505607648,203.1
rank_assignments_cumulative_voting,10,5,25,2.681375252803824,0.893791750934608,0.05362750505607648,183.6
rank_assignments_condorcet_method,10,5,25,2.671171171171171,0.8903903903903904,0.053423423423423426,2299.8
rank_assignments_range,10,5,25,2.681375252803824,0.893791750934608,0.05362750505607648,34.1
cbba_task_allocation,10,5,,2.681375252803824,0.893791750934608,0.05362750505607648,41.6
ssia_task_allocation,10,5,,1.7187902187902186,0.8593951093951093,0.03437580437580437,7.4
ilp_task_allocation,10,5,,2.681375252803824,0.893791750934608,0.05362750505607648,19205.4
jv_task_allocation,10,5,,2.681375252803824,0.893791750934608,0.05362750505607648,52.4
rank_assignments_borda,10,5,25,2.5610747648341636,0.8536915882780546,0.051221495296683274,147.6
rank_assignments_approval,10,5,25,2.561074764834163,0.8536915882780544,0.05122149529668327,94.4
rank_assignments_majority_judgment,10,5,25,2.5100543566708984,0.8366847855569661,0.05020108713341797,190.8
rank_assignments_cumulative_voting,10,5,25,2.5100543566708984,0.8366847855569661,0.05020108713341797,181.0
rank_assignments_condorcet_method,10,5,25,2.5610747648341636,0.8536915882780546,0.051221495296683274,2277.8
rank_assignments_range,10,5,25,2.5610747648341636,0.8536915882780546,0.051221495296683274,26.1
cbba_task_allocation,10,5,,2.5610747648341636,0.8536915882780546,0.051221495296683274,38.9
ssia_task_allocation,10,5,,2.561074764834163,0.8536915882780544,0.05122149529668327,8.1
ilp_task_allocation,10,5,,2.561074764834163,0.8536915882780544,0.05122149529668327,19895.4
jv_task_allocation,10,5,,2.561074764834163,0.8536915882780544,0.05122149529668327,55.3
rank_assignments_borda,10,5,25,3.0,1.0,0.06,141.4
rank_assignments_approval,10,5,25,2.7421150278293136,0.9140383426097712,0.054842300556586274,96.5
rank_assignments_majority_judgment,10,5,25,3.0,1.0,0.06,202.0
rank_assignments_cumulative_voting,10,5,25,2.7962275819418676,0.9320758606472892,0.055924551638837354,149.9
rank_assignments_condorcet_method,10,5,25,3.0,1.0,0.06,2282.8
rank_assignments_range,10,5,25,3.0,1.0,0.06,27.7
cbba_task_allocation,10,5,,3.0,1.0,0.06,35.3
ssia_task_allocation,10,5,,3.0,1.0,0.06,7.1
ilp_task_allocation,10,5,,3.0,1.0,0.06,20822.6
jv_task_allocation,10,5,,3.0,1.0,0.06,66.0
rank_assignments_borda,10,5,25,3.431803006990977,0.8579507517477443,0.06863606013981954,143.7
rank_assignments_approval,10,5,25,3.2855445035896165,0.8213861258974041,0.06571089007179233,92.8
